id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
241,2010-04-06 18:33:12,52.8N,146.5W,,8.0e10,52.8N 146.5W
242,2010-03-18 16:11:16,32.4S,51.8W,,17.5e10,32.4S 51.8W
243,2010-03-15 15:55:43,,,,8.0e10, 
244,2010-03-14 18:44:42,33.8N,90.2W,,4.2e10,33.8N 90.2W
245,2010-03-08 22:44:41,18.2N,110.1E,,3.0e10,18.2N 110.1E
246,2010-03-08 22:02:07,32.0N,92.9W,24.5,32.3e10,32.0N 92.9W
247,2010-02-28 22:24:50,48.7N,21.0E,15.1,15.3e10,48.7N 21.0E
248,2010-02-26 22:46:13,37.3S,166.0W,,23.7e10,37.3S 166.0W
249,2010-02-24 19:55:58,2.6S,102.2W,,9.3e10,2.6S 102.2W
250,2010-01-15 19:17:54,8.3S,27.0E,14.0,49.2e10,8.3S 27.0E
251,2009-12-31 16:24:23,,,,8.3e10, 
252,2009-12-31 12:50:25,37.9N,178.3W,,10.2e10,37.9N 178.3W
253,2009-11-25 01:36:20,52.8S,136.5E,,6.4e10,52.8S 136.5E
254,2009-11-21 20:53:00,22.0S,29.2E,32.1,1.00e13,22.0S 29.2E
255,2009-11-18 17:36:07,,,,8.5e10, 
256,2009-11-18 07:07:19,40.4N,113.2W,,73.6e10,40.4N 113.2W
257,2009-11-14 19:58:55,,,,2.3e10, 
258,2009-11-07 11:31:59,45.5N,157.7W,,2.2e10,45.5N 157.7W
259,2009-11-07 10:41:38,24.0N,64.1E,,4.2e10,24.0N 64.1E
260,2009-10-11 12:49:51,78.3S,70.2E,,7.1e10,78.3S 70.2E
261,2009-10-08 02:57:00,4.2S,120.6E,19.2,2.00e13,4.2S 120.6E
262,2009-09-27 22:22:48,36.0S,67.6W,,8.9e10,36.0S 67.6W
263,2009-09-18 20:13:56,7.7N,29.5W,,14.4e10,7.7N 29.5W
264,2009-09-04 02:23:18,42.5N,110.0E,24.0,96.5e10,42.5N 110.0E
265,2009-08-23 21:17:19,67.7S,18.3E,12.2,28.0e10,67.7S 18.3E
266,2009-07-31 02:13:19,8.9N,121.9W,,2.5e10,8.9N 121.9W
267,2009-07-16 06:39:05,24.4S,59.8W,,72.7e10,24.4S 59.8W
268,2009-07-03 04:02:00,,,,2.7e10, 
269,2009-06-27 13:08:05,26.6S,12.6W,15.2,3.2e10,26.6S 12.6W
270,2009-06-20 11:04:41,,,,2.7e10, 
271,2009-06-18 04:39:00,23.7S,16.0W,,3.3e10,23.7S 16.0W
272,2009-06-09 22:42:28,54.9N,152.7W,,28.1e10,54.9N 152.7W
273,2009-05-31 06:05:47,19.7N,121.0W,,14.3e10,19.7N 121.0W
274,2009-05-13 20:20:16,,,,7.3e10, 
275,2009-05-04 11:39:03,36.4N,160.4W,,14.0e10,36.4N 160.4W
